image_name,cv_width,cv_height,cv_mean_L,cv_mean_a,cv_mean_b,cv_var_L,cv_var_a,cv_var_b
IMG_1519.jp2,3.6483,5.8513,102.8653,127.8206,163.0769,103.6054,2.6842,29.4177
IMG_1520.jp2,3.7619,6.2183,107.3295,125.644,164.3904,170.9343,5.7927,37.0645
IMG_1521.jp2,3.676,6.2295,109.5697,127.0724,161.8507,189.1377,8.0308,24.2706
IMG_1522.jp2,3.7813,6.3819,108.6524,125.4018,162.1482,129.5273,3.3246,32.8617
IMG_1523.jp2,3.8762,6.2918,105.3922,125.5725,164.7727,155.3902,3.2221,34.0713
IMG_1524.jp2,3.8113,6.2725,110.7537,125.6747,162.5463,110.0873,1.8412,23.0492
IMG_1525.jp2,3.816,6.3693,101.5854,126.5814,163.8556,128.2496,2.5899,38.8777
IMG_1526.jp2,3.8084,6.4785,99.4739,130.2232,162.5861,121.2403,4.8632,22.4085
IMG_1527.jp2,3.7908,6.1828,99.073,126.7115,165.1651,152.8759,2.2628,33.26
IMG_1528.jp2,3.8769,6.0823,105.3581,126.9461,163.6304,284.3,4.2614,26.8924
IMG_1529.jp2,3.9622,6.154,103.5965,125.7089,163.3111,113.9167,4.3465,31.5716
IMG_1530.jp2,3.8175,6.1614,100.4142,126.7518,162.4176,132.4391,3.9624,31.0904
IMG_1531.jp2,3.6734,6.2067,104.1618,127.5736,161.2007,91.2521,3.4903,25.7726
IMG_1532.jp2,3.8274,6.2898,101.8695,128.08,162.7829,304.5259,6.0894,33.204
IMG_1533.jp2,3.6984,6.22,104.9118,125.6052,161.7872,130.8312,2.4944,22.3791
IMG_1534.jp2,3.925,6.5558,101.6841,127.8372,162.4241,174.1045,4.8123,26.6526
